MMSI,lng,lat
431601641,131.263533,33.862983
431601641,131.264117,33.862917
431601641,131.2647,33.862833
431601641,131.265217,33.86275
431601641,131.265867,33.862667
431601641,131.2665,33.862567
431601641,131.266967,33.8625
431601641,131.267667,33.8624
431601641,131.26825,33.862317
431601641,131.268767,33.862233
431601641,131.26935,33.86215
431601641,131.269933,33.862067
431601641,131.270583,33.861967
431601641,131.271683,33.8618
431601641,131.272267,33.861717
431601641,131.27285,33.861633
431601641,131.273483,33.86155
431601641,131.274067,33.861467
431601641,131.27465,33.861383
431601641,131.275167,33.861317
431601641,131.2757,33.861233
431601641,131.276333,33.86115
431601641,131.276917,33.861067
431601641,131.27755,33.860967
431601641,131.278133,33.860883
431601641,131.27865,33.860817
431601641,131.279233,33.860733
431601641,131.27975,33.86065
431601641,131.2804,33.860567
431601641,131.281033,33.860483
431601641,131.282083,33.860333
431601641,131.282717,33.86025
431601641,131.283233,33.860183
431601641,131.283867,33.860083
431601641,131.284383,33.860017
431601641,131.2856,33.859833
431601641,131.286167,33.85975
431601641,131.2867,33.859683
431601641,131.287317,33.859583
431601641,131.28785,33.859517
431601641,131.288417,33.859433
431601641,131.28905,33.85935
431601641,131.289633,33.859267
431601641,131.29015,33.8592
431601641,131.29085,33.8591
431601641,131.29125,33.859033
431601641,131.291933,33.85895
431601641,131.292517,33.858867
431601641,131.2931,33.858783
431601641,131.293617,33.858717
431601641,131.2943,33.858617
431601641,131.294767,33.85855
431601641,131.2954,33.858467
431601641,131.297067,33.858233
431601641,131.29775,33.85815
431601641,131.298217,33.858083
431601641,131.29885,33.858
431601641,131.299417,33.857917
431601641,131.301133,33.857667
431601641,131.302283,33.857517
431601641,131.3028,33.857433
431601641,131.303483,33.857333
431601641,131.304,33.857267
431601641,131.304517,33.8572
431601641,131.30515,33.8571
431601641,131.305717,33.857017
431601641,131.306233,33.85695
431601641,131.306917,33.85685
431601641,131.307483,33.856783
431601641,131.307883,33.856717
431601641,131.308583,33.856617
431601641,131.309217,33.856533
431601641,131.309667,33.856483
431601641,131.3103,33.856383
431601641,131.310917,33.8563
431601641,131.311383,33.856233
