Course,Speed,lng,lat
201.3,7.6,129.584022,34.547238
198.0,7.6,129.5839,34.546943
197.8,7.6,129.583743,34.546577
197.5,7.7,129.583605,34.54624
197.9,7.7,129.583452,34.545872
199.4,7.6,129.583315,34.54554
197.8,7.6,129.5832,34.545235
196.4,7.8,129.583073,34.544892
196.7,7.5,129.582933,34.544525
198.3,7.6,129.582795,34.544185
198.8,7.9,129.582658,34.543845
200.3,7.4,129.58253,34.543565
202.2,7.7,129.582372,34.543228
200.7,7.6,129.58224,34.542932
200.1,7.5,129.582055,34.542543
199.7,7.7,129.581902,34.542207
200.3,7.6,129.581752,34.541882
200.3,7.5,129.581618,34.541585
200.0,7.8,129.581475,34.54124
199.0,7.5,129.581353,34.540948
197.2,7.5,129.581202,34.540543
197.1,7.7,129.581065,34.540207
198.3,7.7,129.58095,34.539905
198.5,7.5,129.580822,34.539572
199.4,7.7,129.580668,34.5392
198.9,7.5,129.580547,34.538907
199.9,7.5,129.580383,34.538542
201.4,7.7,129.58023,34.53821
199.4,7.5,129.580087,34.537888
199.3,7.6,129.579948,34.537583
202.8,7.7,129.579803,34.537292
202.1,7.4,129.579653,34.536968
200.5,7.5,129.579473,34.53657
198.1,7.7,129.57933,34.536235
195.6,7.6,129.579183,34.535872
198.6,7.7,129.579048,34.53557
199.2,7.6,129.578932,34.53527
197.4,7.6,129.578805,34.53493
196.5,7.7,129.578665,34.534555
196.4,7.6,129.57854,34.534218
197.3,7.6,129.578407,34.533883
198.4,7.6,129.578267,34.53355
199.6,7.6,129.578152,34.533287
200.8,7.5,129.57799,34.532932
200.9,7.5,129.57781,34.532537
200.3,7.6,129.577677,34.53224
201.0,7.5,129.577523,34.531913
201.8,7.6,129.57737,34.531582
199.7,7.6,129.57724,34.531293
198.9,7.6,129.577103,34.530962
199.6,7.6,129.576952,34.530592
199.0,7.7,129.576823,34.53025
196.4,7.5,129.576703,34.529915
196.9,7.7,129.576568,34.529572
199.5,7.7,129.576433,34.529238
199.9,7.5,129.576302,34.528905
199.1,7.8,129.576165,34.528563
198.1,7.6,129.576028,34.528233
198.7,7.5,129.575885,34.527898
200.9,7.8,129.575732,34.527565
200.7,7.5,129.575593,34.527238
197.6,7.6,129.575475,34.526933
197.1,7.7,129.575357,34.52663
197.0,7.5,129.575203,34.526233
197.7,7.7,129.575097,34.525955
197.6,7.7,129.574943,34.525553
195.7,7.6,129.574822,34.525213
198.3,7.7,129.574677,34.524878
199.9,7.6,129.574547,34.524578
201.0,7.6,129.574387,34.524212
198.3,7.7,129.574265,34.523908
197.9,7.7,129.574115,34.523538
197.9,7.6,129.573982,34.523207
197.5,7.6,129.573862,34.522905
196.5,7.7,129.573747,34.522597
198.2,7.6,129.57358,34.522197
200.3,7.7,129.573447,34.521892
199.8,7.7,129.573287,34.521527
199.3,7.5,129.573143,34.521202
200.2,7.7,129.572995,34.520865
198.0,7.6,129.572878,34.520567
197.4,7.6,129.572742,34.520232
197.0,7.7,129.572612,34.519887
196.9,7.7,129.572467,34.519518
199.3,7.5,129.572342,34.519218
199.0,7.6,129.572193,34.51885
197.9,7.6,129.572075,34.518548
199.5,7.6,129.571933,34.518213
199.5,7.6,129.571792,34.51788
200.5,7.7,129.57163,34.517513
200.9,7.6,129.571498,34.51722
200.0,7.6,129.571357,34.516883
197.9,7.7,129.571235,34.516577
198.3,7.7,129.571105,34.516238
198.1,7.6,129.570975,34.5159
198.2,7.7,129.5708,34.515458
199.7,7.6,129.570683,34.515193
200.4,7.6,129.570527,34.514822
196.6,7.7,129.570413,34.514512
198.0,7.7,129.570273,34.514177
200.3,7.7,129.570132,34.513845
198.9,7.6,129.569983,34.513475
197.2,7.7,129.569863,34.51317
197.8,7.7,129.569723,34.512837
199.1,7.5,129.569583,34.512508
199.0,7.6,129.569445,34.512172
198.0,7.7,129.569312,34.511835
197.9,7.6,129.56918,34.5115
197.1,7.6,129.569053,34.511165
198.9,7.7,129.568917,34.510825
199.0,7.6,129.568783,34.510492
199.2,7.6,129.568645,34.510155
