Course,Speed,lng,lat,MMSI
344.5,9.9,121.44328,37.625743,412767320
344.3,9.9,121.443187,37.625967,412767320
344.6,9.9,121.443093,37.626277,412767320
344.5,9.8,121.44292,37.626773,412767320
344.3,9.9,121.442827,37.627027,412767320
344.1,9.9,121.442627,37.627563,412767320
344.1,9.9,121.442547,37.62783,412767320
344.1,9.9,121.442427,37.62814,412767320
344.1,9.9,121.44236,37.628363,412767320
344.1,9.9,121.442253,37.62863,412767320
344.3,9.9,121.442173,37.628853,412767320
344.6,9.9,121.442067,37.62921,412767320
344.8,9.8,121.442027,37.629297,412767320
345.1,9.8,121.441987,37.629427,412767320
346.5,9.9,121.441813,37.630003,412767320
346.1,9.9,121.441747,37.630227,412767320
345.3,9.8,121.441653,37.630507,412767320
344.6,9.8,121.441587,37.630683,412767320
344.3,9.9,121.441547,37.63078,412767320
342.6,9.8,121.441427,37.631083,412767320
342,9.8,121.44132,37.6313,412767320
341.1,9.8,121.441227,37.631523,412767320
339.8,9.8,121.441027,37.631957,412767320
339.3,9.8,121.44084,37.632393,412767320
339.1,9.8,121.440613,37.63287,412767320
339.1,9.8,121.440413,37.63329,412767320
339.3,9.8,121.440213,37.633683,412767320
340.3,9.9,121.440013,37.63416,412767320
340.1,9.9,121.439893,37.634397,412767320
339.8,9.8,121.439827,37.634563,412767320
339.3,9.8,121.43976,37.63469,412767320
338.5,9.9,121.4396,37.63495,412767320
337.6,9.9,121.439507,37.635153,412767320
336.6,9.9,121.43936,37.635413,412767320
335.5,9.9,121.439067,37.635947,412767320
335.3,9.8,121.4388,37.63645,412767320
335.6,9.9,121.43852,37.636913,412767320
335,9.9,121.438427,37.637067,412767320
334.6,9.8,121.438387,37.63715,412767320
332.8,9.8,121.438067,37.63764,412767320
333.8,9.8,121.4382,37.637443,412767320
331.8,9.8,121.43788,37.63788,412767320
330.8,9.8,121.437613,37.63828,412767320
330.6,9.8,121.437547,37.638363,412767320
331.3,9.8,121.437693,37.63816,412767320
330.5,9.8,121.437387,37.638607,412767320
330.8,9.8,121.437213,37.63884,412767320
330.6,9.8,121.43736,37.638637,412767320
331.3,9.8,121.43708,37.639043,412767320
329.3,9.8,121.43676,37.63947,412767320
327.8,9.8,121.436467,37.639853,412767320
326.3,9.8,121.436133,37.640227,412767320
325.6,9.8,121.435813,37.640597,412767320
325,9.8,121.435507,37.64094,412767320
325.6,9.6,121.435213,37.6413,412767320
325.6,9.6,121.435133,37.641377,412767320
324.8,9.6,121.43496,37.64155,412767320
324.3,9.6,121.43488,37.64167,412767320
322.5,9.6,121.434547,37.641993,412767320
322.3,9.6,121.434467,37.64207,412767320
321.1,9.6,121.434373,37.64218,412767320
320.1,9.6,121.434107,37.642413,412767320
318.6,9.6,121.433693,37.642803,412767320
318.3,9.6,121.433427,37.643043,412767320
318.1,9.6,121.433213,37.643247,412767320
318,9.6,121.433027,37.64342,412767320
317.8,9.6,121.4328,37.643617,412767320
