lng,lat,MMSI
121.440693,37.5748,412020540
121.440773,37.574863,412020540
121.440827,37.57489,412020540
121.44092,37.574953,412020540
121.441,37.575007,412020540
121.441053,37.57504,412020540
121.441107,37.57507,412020540
121.441187,37.57512,412020540
121.44124,37.575147,412020540
121.441293,37.575173,412020540
121.441347,37.5752,412020540
121.44144,37.57525,412020540
121.44156,37.575297,412020540
121.441653,37.57535,412020540
121.441707,37.57537,412020540
121.441773,37.5754,412020540
121.441867,37.57544,412020540
121.44192,37.575457,412020540
121.441973,37.57549,412020540
121.441813,37.57542,412020540
121.442093,37.575527,412020540
121.442147,37.57555,412020540
121.44224,37.575583,412020540
121.442307,37.575607,412020540
121.442413,37.575643,412020540
121.442467,37.57566,412020540
121.44252,37.575673,412020540
121.442627,37.57571,412020540
121.44268,37.57572,412020540
121.442733,37.575737,412020540
121.442813,37.575757,412020540
121.442907,37.575783,412020540
121.442973,37.5758,412020540
121.443027,37.57581,412020540
121.443133,37.575843,412020540
121.443187,37.575857,412020540
121.443293,37.575883,412020540
121.443347,37.5759,412020540
121.443413,37.57592,412020540
121.443627,37.57596,412020540
121.443733,37.575987,412020540
121.443787,37.576007,412020540
121.44384,37.576013,412020540
121.444,37.57605,412020540
121.444093,37.57608,412020540
121.444173,37.5761,412020540
121.44424,37.57612,412020540
121.44432,37.57615,412020540
121.444373,37.57617,412020540
121.444453,37.576187,412020540
121.44452,37.576207,412020540
121.444613,37.57623,412020540
121.44468,37.576257,412020540
121.444773,37.57629,412020540
121.444853,37.57632,412020540
121.44492,37.576357,412020540
121.445027,37.576383,412020540
121.445107,37.57643,412020540
121.445173,37.576457,412020540
121.44524,37.576503,412020540
121.445293,37.576533,412020540
121.445347,37.57656,412020540
121.445427,37.576607,412020540
121.445493,37.576643,412020540
121.445547,37.576673,412020540
121.445613,37.57671,412020540
121.44568,37.576753,412020540
121.445733,37.5768,412020540
121.4458,37.576853,412020540
121.445867,37.576917,412020540
121.445933,37.57698,412020540
121.445987,37.57703,412020540
121.446053,37.577097,412020540
121.446133,37.577153,412020540
121.446173,37.577213,412020540
121.446253,37.577277,412020540
121.446347,37.57734,412020540
121.4464,37.57739,412020540
121.446493,37.577453,412020540
121.446573,37.577517,412020540
121.446653,37.57757,412020540
121.446733,37.577633,412020540
121.446787,37.577657,412020540
121.44688,37.57772,412020540
121.446973,37.577783,412020540
121.44704,37.57784,412020540
121.447093,37.577877,412020540
121.447187,37.577927,412020540
121.44724,37.577963,412020540
121.447333,37.578007,412020540
121.4474,37.57804,412020540
121.44748,37.578087,412020540
121.447533,37.578123,412020540
121.447613,37.578167,412020540
121.447693,37.578197,412020540
121.447773,37.578233,412020540
121.447893,37.57828,412020540
121.448,37.578327,412020540
121.448147,37.578383,412020540
121.448213,37.578407,412020540
121.448267,37.578423,412020540
121.44832,37.578443,412020540
121.448427,37.578477,412020540
121.44852,37.57851,412020540
121.448573,37.57852,412020540
121.44864,37.57854,412020540
121.448733,37.57857,412020540
121.4488,37.578587,412020540
121.448853,37.578603,412020540
121.448947,37.578627,412020540
121.449013,37.57864,412020540
121.449173,37.57868,412020540
121.449227,37.57869,412020540
121.449293,37.578703,412020540
121.449347,37.57872,412020540
121.4494,37.578733,412020540
121.449467,37.578743,412020540
121.449613,37.57878,412020540
121.44968,37.5788,412020540
121.44984,37.578833,412020540
121.449893,37.578847,412020540
121.449987,37.57887,412020540
121.45004,37.578883,412020540
121.450147,37.578903,412020540
121.450227,37.57893,412020540
121.450293,37.578943,412020540
121.45044,37.57899,412020540
121.45052,37.579017,412020540
121.450573,37.57903,412020540
121.450667,37.579057,412020540
121.450747,37.579077,412020540
121.4508,37.5791,412020540
121.450853,37.57911,412020540
121.450933,37.579143,412020540
121.451013,37.579177,412020540
121.451093,37.579207,412020540
121.451173,37.579243,412020540
121.451267,37.579297,412020540
121.451333,37.57933,412020540
121.4514,37.57937,412020540
121.45148,37.579417,412020540
121.451533,37.57945,412020540
121.4516,37.57949,412020540
121.451667,37.579527,412020540
121.451747,37.579587,412020540
121.4518,37.579623,412020540
121.45184,37.57969,412020540
121.451893,37.579737,412020540
121.451933,37.579803,412020540
121.451987,37.57987,412020540
121.45204,37.57994,412020540
121.45208,37.58001,412020540
121.452133,37.58008,412020540
121.452187,37.580157,412020540
121.4522,37.58021,412020540
121.452227,37.580283,412020540
121.452253,37.580437,412020540
121.452253,37.580523,412020540
121.452267,37.580577,412020540
121.452253,37.580637,412020540
121.452253,37.58073,412020540
121.452227,37.580833,412020540
121.452213,37.58093,412020540
121.452213,37.58104,412020540
121.4522,37.581147,412020540
121.452187,37.581257,412020540
121.452173,37.581373,412020540
121.452173,37.58149,412020540
121.452187,37.581617,412020540
121.452187,37.581687,412020540
121.4522,37.581773,412020540
121.452213,37.58186,412020540
121.452253,37.581933,412020540
121.452267,37.582017,412020540
121.452293,37.582097,412020540
121.45232,37.58218,412020540
121.452347,37.582247,412020540
121.452373,37.582327,412020540
121.452413,37.5824,412020540
121.45244,37.582467,412020540
121.452493,37.58254,412020540
121.45252,37.58261,412020540
121.452573,37.58267,412020540
121.452613,37.58275,412020540
121.452653,37.582817,412020540
121.452707,37.582873,412020540
121.452773,37.58294,412020540
121.452813,37.582997,412020540
121.452867,37.58306,412020540
121.45292,37.583127,412020540
121.452987,37.583187,412020540
121.453027,37.583243,412020540
121.453107,37.583323,412020540
121.453173,37.583383,412020540
121.453227,37.583427,412020540
121.45328,37.58348,412020540
121.453307,37.583543,412020540
121.45336,37.583593,412020540
121.45344,37.583673,412020540
121.45352,37.58377,412020540
121.453547,37.583823,412020540
121.453587,37.58388,412020540
121.453613,37.583937,412020540
121.453667,37.584013,412020540
121.453693,37.58407,412020540
121.453733,37.584157,412020540
121.453747,37.584233,412020540
121.453773,37.584313,412020540
121.4538,37.5844,412020540
